code,name,tehsil,city
1082,VINAYAK H.S. CHINTAMAN GANESH,UJJAIN,UJJAIN
1083,GOVT. M. SCHOOL KAROHAN,UJJAIN,UJJAIN
1084,SHREE RISHI GURUKUL CHINTAMAN GANESH,UJJAIN,UJJAIN
1085,GOVT M.S. GONDIYA,UJJAIN,UJJAIN
1086,SARASWATI GYAN MANDIR LEKODA,UJJAIN,UJJAIN
1087,GOVT. H.S. SCHOOL LEKODA,UJJAIN,UJJAIN
1088,GOVT. M. SCHOOL LEKODA,UJJAIN,UJJAIN
1089,GOVT. M. SCHOOL GANGEDI,UJJAIN,UJJAIN
1090,MAHARSHI KARN VED VIDHYA MANDIR DHAM RATNA,UJJAIN,UJJAIN
1091,RADHIKA M.S. PIPLIYA RAGHO,UJJAIN,UJJAIN
1092,GOVT. H.S. KAROHAN,UJJAIN,UJJAIN
1093,GOVT. M. SCHOOL NINORA,UJJAIN,UJJAIN
1095,GOVT. M. SCHOOL CHANDU KHEDI,UJJAIN,UJJAIN
1096,GOVT. M. SCHOOL NALWA,UJJAIN,UJJAIN
1097,GOVT. M. SCHOOL JAMALPURA,UJJAIN,UJJAIN
1098,GOVT. M.S. BOLASA,UJJAIN,UJJAIN
1100,GOVT. M.S. FATEHABAD,UJJAIN,UJJAIN
1102,GOVT. M. SCHOOL ALAMPUR UDANA,UJJAIN,UJJAIN
1103,GOVT. M. SCHOOL DHATRAWADA,UJJAIN,UJJAIN
1104,GOVT. M. SCHOOL DATANA,UJJAIN,UJJAIN
1105,GOVT. M. S. CHANDESRA,UJJAIN,UJJAIN
1106,GOVT. M. S. KADCHHALI,UJJAIN,UJJAIN
1107,GOVT. P. S. KHAJURIYA KUMAWAT,UJJAIN,UJJAIN
1108,GOVT. M. SCHOOL SEMALIYA NSAR,UJJAIN,UJJAIN
1109,GOVT. M.S. SCHOOL MUNJAKHEDI,UJJAIN,UJJAIN
1110,GOVT. M. S. HARNAWADA,UJJAIN,UJJAIN
1111,GOVT. M. S. KESUNI,UJJAIN,UJJAIN
1112,GOVT. M. SCHOOL KHEMASHA,UJJAIN,UJJAIN
1113,GOVT. M. SCHOOL BAMORA,UJJAIN,UJJAIN
1114,GOVT. M. S. ARWAS,UJJAIN,UJJAIN
1115,GOVT. M. SCHOOL TALOD,UJJAIN,UJJAIN
1116,GOVT. M. S. MATANAKHURD,UJJAIN,UJJAIN
1117,GOVT. P. S. MATANAKHURD,UJJAIN,UJJAIN
1118,GOVT. M. S. TAKWASA,UJJAIN,UJJAIN
1119,GOVT. M.S. KANKARIYA,UJJAIN,UJJAIN
1120,GOVT. P. SCHOOL BADKUMED,UJJAIN,UJJAIN
1121,GOVT. M. SCHOOL PINGLESHWAR,UJJAIN,UJJAIN
1126,GOVT. M. S. KITHODARAO,UJJAIN,UJJAIN
1127,LOKMANYA TILAK V. V. H. SCHOOL NILGANGA,UJJAIN,UJJAIN
1128,LOKMANYA TILAK V. V. H. S. SCHOOL NILGANGA,UJJAIN,UJJAIN
1129,GOVT P.S. NILGANGA,UJJAIN,UJJAIN
1130,GOVT P.S. SHASTRINAGAR,UJJAIN,UJJAIN
1131,CROWN PUBLIC SCHOOL SANTNAGAR,UJJAIN,UJJAIN
1132,AMBIKA MONTESARRI M.S.KESHAVNAGAR,UJJAIN,UJJAIN
1133,GEETANJLI M.S. RAVISHANKAR NAGAR,UJJAIN,UJJAIN
1134,SUNRISE PUBLIC SCHOOL MAHANANDA NAGAR,UJJAIN,UJJAIN
1171,LITTLE CONVENT H.S. MAHANANDA,UJJAIN,UJJAIN
2201,FEM GURUKUL ACADEMEY,SHAJAPUR,SHAJAPUR
2226,GOVT. SHREE VARAHMIHIR H.S.S. KAYTHA,TARANA,UJJAIN
2227,GOVT. M.S. SAROLA,TARANA,UJJAIN
2228,SHAN-E-SLIBA VIDHYA MANDIR KAYTHA,TARANA,UJJAIN
2230,GOVT M.S. BHERUPURA,TARANA,UJJAIN
2231,SARSWATI SHISHU VIDHYA MANDIR KAYTHA,TARANA,UJJAIN
2232,GOVT. H.S. KATHBAROD,TARANA,UJJAIN
2233,GOVT.  M. S. BHATUNI,TARANA,UJJAIN
2234,GOVT.  H. S. BHATUNI,TARANA,UJJAIN
2235,GOVT. H. S. AASERA,TARANA,UJJAIN
2236,GURUKUL ACADEMY KHAJURIYA,TARANA,UJJAIN
2237,GOVT. M.S. SAKARI,TARANA,UJJAIN
2238,GOVT. M.S. PIPLYAKAYTHA,TARANA,UJJAIN
2239,UNIVERSAL ACADEMY KANASIYA,TARANA,UJJAIN
2240,SARSWATI SHISHU VIDHYA MANDIR KANARDI,TARANA,UJJAIN
2241,BHAVAN CONVENT SCHOOL MAKDON,TARANA,UJJAIN
2242,NEW PUBLIC MODERN SCHOOL RUPA KHEDI,TARANA,UJJAIN
2243,CHAITANYA KIRTI PUBLIC SCHOOL RUPAKHEDI,TARANA,UJJAIN
2244,PRIDASHANI INDIRA GANTHI H. S. SCHOOL ROOPAKHEDI,TARANA,UJJAIN
2245,GOVT H.S. DHABLA HARDU,TARANA,UJJAIN
2247,GOVT H.S. PAT,TARANA,UJJAIN
2249,GOVT H.S. TUKRAL,TARANA,UJJAIN
2250,GOVT M.S. TUKRAL,TARANA,UJJAIN
2251,NEW TAKSHASHILA CONVENT SCHOOL,TARANA,UJJAIN
2252,RAJIV RATN ADHYAYAN SHALA,TARANA,UJJAIN
2253,SARDAR PATEL H.S. TARANA,TARANA,UJJAIN
2254,GOVT BOYS M.S. KR. -3 TARANA,TARANA,UJJAIN
2255,L.N.P.S. KACHANARIYA,TARANA,UJJAIN
2256,SUMEDHA BAL NIKETAN MALIKHEDI,TARANA,UJJAIN
2257,GOVT P.S._M.S. SALAKHEDI,TARANA,UJJAIN
2258,GOVT. NAVIN H.S. TARANA,TARANA,UJJAIN
2259,SANT KALIDAS SCHOOL,TARANA,UJJAIN
2260,GOVT. UTKRASHT H.S. SCHOOL,TARANA,UJJAIN
2261,GOVT. M.S.KRAMANK -1 TARANA,TARANA,UJJAIN
2262,GOVT P.S._M.S. KARANJ,TARANA,UJJAIN
2263,GOVT.GIRLS H.S.SCHOOL TARANA,TARANA,UJJAIN
2264,GAYATRI SHISHU MANDIR KACHNARIYA,TARANA,UJJAIN
2265,GOVT M.S. KHAMLI,TARANA,UJJAIN
2266,GOVT H.S. KACHANARIYA,TARANA,UJJAIN
2267,GOVT P.S. KHAMLIKHEDA,TARANA,UJJAIN
2268,GOVT BOYS M.S. KACHANARIYA,TARANA,UJJAIN
2269,ADARSH H.S. TARANA,TARANA,UJJAIN
2270,DEEN SAHARA SHISHU MANDIR MAKDON,TARANA,UJJAIN
2271,MAKDON PUBLIC SCHOOL MAKDON,TARANA,UJJAIN
2272,GOVT. RAVINDRA BOYS H.S.SCHOOL MAKDON,TARANA,UJJAIN
2273,SUNRISE MODEL SCHOOL M.S. MAKDON,TARANA,UJJAIN
2274,GOVT GIRLS H.S.S. MAKDON,TARANA,UJJAIN
2275,SHREE VINAYAK ACADEMY MAKDON,TARANA,UJJAIN
2276,GOVT GIRLS M.S. MAKDON,TARANA,UJJAIN
3326,MAHARSHI SANDIPANI M.S. JAGOTI,MAHIDPUR,UJJAIN
3327,VIJAY MONTESARI PRI. SCHOOL JAGOTI,MAHIDPUR,UJJAIN
3328,GOVT. M.S. AJAMABAD,MAHIDPUR,UJJAIN
3329,GOVT. GIRLS M.S. JAGOTI,MAHIDPUR,UJJAIN
3330,GOVT.H.S. NIPANIYA RAJU,MAHIDPUR,UJJAIN
3331,SARASWATI GYAN MANDIR KHEDAKHAJURIYA,MAHIDPUR,UJJAIN
3332,GOVT.M._P. SCHOOL KHEDAKHAJURIYA,MAHIDPUR,UJJAIN
3333,SHANTI NIKETAN H.S. KHEDAKHAJURIYA,MAHIDPUR,UJJAIN
3334,GOVT. H.S.SCHOOL GHONSALA,MAHIDPUR,UJJAIN
3335,GOVT. M.S. GHONSALA,MAHIDPUR,UJJAIN
3336,SHREE GURUNANAK PUBLIC SCHOOL GHONSALA,MAHIDPUR,UJJAIN
3337,SARASWATI SANSKAR WATIKA GHONSALA,MAHIDPUR,UJJAIN
3338,GOVT. M.S. MAHUDI,MAHIDPUR,UJJAIN
3339,GOVT. H.S.S.KHEDA KHAJURIYA,MAHIDPUR,UJJAIN
3340,GOVT. M.S. KITIYA,MAHIDPUR,UJJAIN
3341,GOVT. M. SCHOOL NIMAKHEDI,MAHIDPUR,UJJAIN
3342,GOVT M.S. NALKHEDA,MAHIDPUR,UJJAIN
3343,GOVT. M. SCHOOL TAROT,MAHIDPUR,UJJAIN
3344,GOVT. M.S. BANI,MAHIDPUR,UJJAIN
3345,GOVT M.S. SUMRAKHEDA,MAHIDPUR,UJJAIN
3346,GOVT. GIRLS M.S. JHARDA,MAHIDPUR,UJJAIN
3347,GOVT. BOYS M.S. JHARDA,MAHIDPUR,UJJAIN
3348,GOVT. M.SCHOOL KHADANIYA,MAHIDPUR,UJJAIN
3349,GOVT. M.S. GOGAKHEDA,MAHIDPUR,UJJAIN
3350,GOVT P.S. GELAKHEDI,MAHIDPUR,UJJAIN
3351,GOVT M.S. KHORIYAPADAM,MAHIDPUR,UJJAIN
3352,GOVT. M.S. GHATIYA SAI DAS,MAHIDPUR,UJJAIN
3353,GOVT. H.S. RANAYARA PEER,MAHIDPUR,UJJAIN
3354,GOVT. P.S. LASULDIYA MANSUR,MAHIDPUR,UJJAIN
3355,GOVT. P.S. BAIJNATH,MAHIDPUR,UJJAIN
3356,GOVT. P.S. KACHARIYA,MAHIDPUR,UJJAIN
3358,GOVT. P.S. PADLIYA,MAHIDPUR,UJJAIN
3359,GOVT. P.S.NAGPURA,MAHIDPUR,UJJAIN
3360,GOVT P.S. KADAI,MAHIDPUR,UJJAIN
3361,GOVT. P.S. THIKRIA,MAHIDPUR,UJJAIN
3362,GOVT. P.S. MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3363,GOVT. M.S. MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3364,GOVT. GIRLS M.S. MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3365,GOVT. GIRLS H.S. MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3366,SHARDA H.SCHOOL MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3367,GURUKUL MANAS ACADEMY H.SCHOOL MAHIDPUR ROAD,MAHIDPUR,UJJAIN
3368,ST.MARY CONVENT H.SCHOOL GOGAPUR,MAHIDPUR,UJJAIN
3369,GOVT.M.SCHOOL KOYAL,MAHIDPUR,UJJAIN
3371,GOVT.P.SCHOOL PETALAWAD,MAHIDPUR,UJJAIN
3372,GOVT.M.SCHOOL PETALAWAD,MAHIDPUR,UJJAIN
3373,GOVT.H.SCHOOL PETALAWAD,MAHIDPUR,UJJAIN
3374,GOVT.H.S. SCHOOL JHUTAWAD,MAHIDPUR,UJJAIN
3375,NEW GENERATION PUBLIC SCHOOL JHUTAWAD,MAHIDPUR,UJJAIN
3376,GOVT.P.SCHOOL DUNGRIYA,MAHIDPUR,UJJAIN
3377,GOVT.M.SCHOOL KANAKHEDI,MAHIDPUR,UJJAIN
3378,GOVT. M.S.TARNOD,MAHIDPUR,UJJAIN
3379,GOVT. M.S. BARUKHEDI,MAHIDPUR,UJJAIN
3380,JAI MA VAISHNAV CONVENT SCHOOL JHARDA,MAHIDPUR,UJJAIN
3381,MAHIDPUR PUBLIC SCHOOL JHARDA,MAHIDPUR,UJJAIN
3382,GOVT. BOYS H.S.SCHOOL  JHARDA,MAHIDPUR,UJJAIN
3383,GOVT.H.S.S. INDOKH,MAHIDPUR,UJJAIN
3384,GOVT. H.S.SCHOOL KHEDAKASON,MAHIDPUR,UJJAIN
3385,GOVT. M.S. BAIJNATH,MAHIDPUR,UJJAIN
3386,GOVT. M.S. THIKRIA,MAHIDPUR,UJJAIN
3387,GOVT M.S.NIPANIYA BADAR,MAHIDPUR,UJJAIN
3388,GOVT M._P.S. SAKRIYA,MAHIDPUR,UJJAIN
3389,GOVT M.S. PIPALYA DHUMA,MAHIDPUR,UJJAIN
3390,GOVT.M.S.DHABLA SIYA,MAHIDPUR,UJJAIN
3391,GOVT M.S.  LOTIYA JUNARDA,MAHIDPUR,UJJAIN
3392,GOVT. M.S. INDOKH,MAHIDPUR,UJJAIN
3393,GOVT M.S.  MALYA,MAHIDPUR,UJJAIN
3394,GOVT M.S.  BOLKHEDA GHAT,MAHIDPUR,UJJAIN
3395,GOVT. M.S. RANAYARA PIR,MAHIDPUR,UJJAIN
3396,GOVT. M.S. KANTHARIYA,MAHIDPUR,UJJAIN
3397,GOVT M.S.  KHEDLA,MAHIDPUR,UJJAIN
3398,GOVT. M.S.SCHOOL KHEDAKASON,MAHIDPUR,UJJAIN
3399,GOVT. M.S. DONGERKHEDA,MAHIDPUR,UJJAIN
3400,GOVT M._P.S.  GHATPIPLIYA,MAHIDPUR,UJJAIN
3401,GOVT. P.S. GHATIYA SAI DAS,MAHIDPUR,UJJAIN
3402,GOVT M.S.  MENDKI,MAHIDPUR,UJJAIN
3403,GOVT P.S.  KHEDLA,MAHIDPUR,UJJAIN
3404,GOVT. P.S. MAHIDPUR,MAHIDPUR,UJJAIN
3405,GOVT. M.S. LASULDIYA NAHTA,MAHIDPUR,UJJAIN
3406,GOVT.M.S. KACHARIA,MAHIDPUR,UJJAIN
3407,GOVT. P. SCHOOL TAROT,MAHIDPUR,UJJAIN
3408,TRINETRA PUBLIC SCHOOL GHONSALA,MAHIDPUR,UJJAIN
3409,GOVT. H.S.SCHOOL JAGOTI,MAHIDPUR,UJJAIN
3410,GOVT. M.S. LASULDIYA MANSUR,MAHIDPUR,UJJAIN
3411,GOVT.M.SCHOOL MUNDALA,MAHIDPUR,UJJAIN
3412,SAINT JOSEPH CONVENT MAHIDPUR,MAHIDPUR,UJJAIN
3413,NAI ABADI RANAYARA PIR,MAHIDPUR,UJJAIN
3414,GOVT. GIRLS H.S.SCHOOL  JHARDA,MAHIDPUR,UJJAIN
3415,GOVT. M.S. MALIKHEDI,MAHIDPUR,UJJAIN
4087,PRIVATE,KHACHROD,UJJAIN
4493,GOVT. P.S. SEMALIYA,BADNAGAR,UJJAIN
4494,GOVT. P.S. MITHIKHEDI,BADNAGAR,UJJAIN
4451,GYAN JYOTI H.S. SCHOOL MAKDAWAN,BADNAGAR,UJJAIN
4452,GOVT. M.S. PALSODA,BADNAGAR,UJJAIN
4453,GOVT. H.S. PALSODA,BADNAGAR,UJJAIN
4454,BAGESWARI VIDYA VIHAR PALSODA,BADNAGAR,UJJAIN
4455,GOVT. P.S. BISAHEDA,BADNAGAR,UJJAIN
4496,GOVT. M.S. BISAHEDA,BADNAGAR,UJJAIN
4456,VIDYA SAGAR M. S. JAL BHAIRAV BADNAGAR,BADNAGAR,UJJAIN
4457,GOVT H.S. MOLANA,BADNAGAR,UJJAIN
4458,SHREE VIVEKANAD HIGH SCHOOL,BADNAGAR,UJJAIN
4459,GOVT. GIRLS P.S. MOLANA,BADNAGAR,UJJAIN
4460,GOVT. M.S. MOLANA,BADNAGAR,UJJAIN
4461,SARASWATI SHISHU VIDYA VIHAR,BADNAGAR,UJJAIN
4462,GOVT. M.S. PANCHWATI KR.1,BADNAGAR,UJJAIN
4463,GOVT. M.S. KR.-2  NUTAN,BADNAGAR,UJJAIN
4464,GAYATRI VIDYA MANDIR JAHANGIRPUR,BADNAGAR,UJJAIN
4465,GAYATRI SHISHU MANDIR MALAPURA,BADNAGAR,UJJAIN
4466,GOVT. GIRLS H.S.S.,BADNAGAR,UJJAIN
4467,GOVT. UTKRIST H.S.S.,BADNAGAR,UJJAIN
4468,LATA DEVI GIRLS H.S.S,BADNAGAR,UJJAIN
4469,JAGRATI SHIKSHAN PARISHAD,BADNAGAR,UJJAIN
4470,SANTOSH VIDHYA MANDIR H.S.S. BANGRED,BADNAGAR,UJJAIN
4471,GOVT. BOYS P._M.S. UTWARA,BADNAGAR,UJJAIN
4472,GOVT. BOYS P._M.S. ARJUNKHEDA,BADNAGAR,UJJAIN
4473,GYANARJAN SARASWATI SHISHU MANDIR,BADNAGAR,UJJAIN
4474,GAYATRI SHISHU MANDIR CHIROLA KALA,BADNAGAR,UJJAIN
